P_hotspot,prediction,true_label
2.8469952942614398e-11,0,0.0
4.94752631120899e-11,0,0.0
5.865445360453528e-14,0,0.0
4.056969672381153e-16,0,0.0
1.2429740606792328e-16,0,0.0
2.9161874153544747e-13,0,0.0
2.6206967080488063e-12,0,0.0
4.565326044801754e-16,0,0.0
7.471615518681049e-10,0,0.0
9.89134064221067e-16,0,0.0
1.6900168728099666e-13,0,0.0
7.62817468151271e-11,0,0.0
2.8603418650480796e-13,0,0.0
8.366787721163355e-19,0,0.0
5.944755229416665e-12,0,0.0
1.7557449423532626e-13,0,0.0
7.706685257196533e-15,0,0.0
5.557018520022856e-10,0,0.0
2.9300229619749392e-08,0,0.0
3.6132165412965843e-13,0,0.0
1.0233175264586203e-15,0,0.0
8.381402950580505e-11,0,0.0
8.198759118379282e-11,0,0.0
3.240647554495714e-12,0,0.0
2.6405178832349357e-15,0,0.0
1.1833463794687725e-12,0,0.0
7.920138902266371e-12,0,0.0
3.6780533377200296e-16,0,0.0
3.593144855787773e-10,0,0.0
3.2968552380091557e-12,0,0.0
1.6750328958072315e-15,0,0.0
2.8670608458086853e-16,0,0.0
2.2689261024290065e-12,0,0.0
2.3250799883301693e-16,0,0.0
1.7053605602910596e-10,0,0.0
1.7164060610254551e-12,0,0.0
3.940519786679543e-16,0,0.0
8.935493648080374e-19,0,0.0
1.292474094975252e-15,0,0.0
6.955097169844489e-06,0,0.0
6.431554326544651e-11,0,0.0
3.150480490843382e-17,0,0.0
1.0062561108204932e-10,0,0.0
2.8413637816092713e-19,0,0.0
2.0460592767036254e-10,0,0.0
7.3312178957988796e-06,0,0.0
2.7542461015473014e-15,0,0.0
1.3320899788059147e-19,0,0.0
9.442052912935288e-18,0,0.0
3.6504290112054905e-15,0,0.0
1.5764957647022117e-11,0,0.0
1.2802517651274933e-12,0,0.0
7.807514950328533e-15,0,0.0
1.1368196944410403e-11,0,0.0
2.869860713048529e-14,0,0.0
6.350492709486599e-11,0,0.0
2.0629648514549167e-07,0,0.0
9.921081558735857e-16,0,0.0
1.1743951461242867e-09,0,0.0
5.433705998186994e-16,0,0.0
5.176990567152628e-14,0,0.0
